Date,Open,High,Low,Close,Adj Close,Volume
2000-02-01,2.020064,2.152527,1.937274,2.020064,1.140429,2011114
2000-03-01,2.069737,2.169085,2.053179,2.152527,1.215211,3754089
2000-04-01,2.152527,2.251874,1.904158,1.904158,1.074994,1066552
2000-05-01,1.904158,2.086295,1.904158,2.003506,1.131082,961465
2000-06-01,2.003506,2.351222,2.003506,2.301548,1.299341,860007
2000-07-01,2.301548,2.483685,2.301548,2.367779,1.336731,2077549
2000-08-01,2.400895,2.566474,2.351222,2.516801,1.420863,828596
2000-09-01,2.516801,2.566474,2.384337,2.400895,1.355428,590646
2000-10-01,2.384337,2.698938,2.235316,2.682380,1.514340,2884412
2000-11-01,2.682380,2.847959,2.649264,2.798285,1.579774,11130627
2000-12-01,2.781727,3.129443,2.781727,3.063211,1.729338,295080856
2001-01-01,3.063211,3.344696,3.063211,3.112885,1.757382,15744737
2001-02-01,3.079769,3.079769,2.864517,2.864517,1.617166,103031163
2001-03-01,2.864517,3.030096,2.682380,2.847959,1.607818,31154904
2001-04-01,2.814843,2.980422,2.616148,2.864517,1.617166,1416837
2001-05-01,2.864517,3.146001,2.864517,3.146001,1.776078,1094334
2001-06-01,3.146001,3.179117,3.096327,3.112885,1.757382,65267924
2001-07-01,3.146001,3.146001,2.980422,3.146001,1.776078,3401391
2001-08-01,3.146001,3.228790,2.897632,2.897632,1.635861,1312959
2001-09-01,2.881074,2.881074,2.649264,2.649264,1.495645,891410
2001-10-01,2.649264,3.112885,2.649264,3.063211,1.729338,118591103
2001-11-01,3.063211,3.129443,2.897632,2.897632,1.635861,2063054
2001-12-01,2.897632,2.914190,2.864517,2.897632,1.635861,7498526
2002-01-01,2.897632,2.996980,2.814843,2.881074,1.626513,2425422
2002-02-01,2.881074,3.295022,2.864517,3.228790,1.822815,572530
2002-03-01,3.377811,3.377811,2.980422,3.063211,1.729338,100669751
2002-04-01,3.063211,3.179117,2.980422,3.112885,1.757382,2640420
2002-05-01,3.112885,3.112885,2.864517,2.897632,1.635861,367187
2002-06-01,2.881074,2.881074,2.400895,2.483685,1.402167,1151105
2002-07-01,2.483685,2.649264,1.904158,1.953832,1.103038,613596
2002-08-01,1.986948,2.516801,1.986948,2.318106,1.308689,1666867
2002-09-01,2.318106,2.318106,1.953832,1.953832,1.103038,547162
2002-10-01,1.986948,2.467127,1.904158,2.467127,1.392819,2325167
2002-11-01,2.467127,2.467127,2.284990,2.351222,1.327385,2493062
